,file_id,item_orientation,location_on_body,class_name,subject_gender,subject_id,front_back,xmin,ymin,xmax,ymax,cx,cy,location_on_body_decoded,class_name_decoded,item_orientation_decoded,area,height,width
0,T_N_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164725.jpg,HUMAN,HUMAN,HUMAN,F,4,back,62,159,277,881,169.5,520.0,HUMAN,HUMAN,HUMAN,155230,722,215
1,S_N_M2_KC_F_LT_CP_V_N_front_0904102002.jpg,HUMAN,HUMAN,HUMAN,M,2,front,26,1,276,875,151.0,438.0,HUMAN,HUMAN,HUMAN,218500,874,250
2,S_N_M2_KC_F_LT_CP_V_N_front_0904102002.jpg,MISSING,MISSING,CL,M,2,front,188,589,230,614,209.0,601.5,MISSING,Cigarette Lighter,MISSING,1050,25,42
3,S_P_F1_WB_L_W_front_0907111829.jpg,HUMAN,HUMAN,HUMAN,F,1,front,26,126,310,859,168.0,492.5,HUMAN,HUMAN,HUMAN,208172,733,284
4,S_P_F1_WB_L_W_front_0907111829.jpg,L,W,WB,F,1,front,240,538,275,593,257.5,565.5,Waist,Water Bottle,Left,1925,55,35
5,S_P_M5_CK_R_RL_back_0906101409.jpg,HUMAN,HUMAN,HUMAN,M,5,back,15,78,335,880,175.0,479.0,HUMAN,HUMAN,HUMAN,256640,802,320
6,S_P_F3_MD_F_LT_SS_V_N_front_0910102014.jpg,HUMAN,HUMAN,HUMAN,F,3,front,19,124,303,873,161.0,498.5,HUMAN,HUMAN,HUMAN,212716,749,284
7,S_P_F3_MD_F_LT_SS_V_N_front_0910102014.jpg,MISSING,MISSING,UNKNOWN,F,3,front,203,505,239,632,221.0,568.5,MISSING,UNKNOWN,MISSING,4572,127,36
8,S_N_F4_CL_F_RA_LW_V_RA_front_0910161558.jpg,HUMAN,HUMAN,HUMAN,F,4,front,72,142,287,881,179.5,511.5,HUMAN,HUMAN,HUMAN,158885,739,215
9,S_P_F4_CL_F_RT_LW_V_N_front_0910161750.jpg,HUMAN,HUMAN,HUMAN,F,4,front,75,147,293,876,184.0,511.5,HUMAN,HUMAN,HUMAN,158922,729,218
