,char1,char2,filename_bbox_count,xml_content_bbox_count,gross_count,presence,mismatch,keys_filename,key_xml_content,human_key,subject_gender,subject_id,front_back,time,file,file_id
0,T,N,1,1,0,0,0,"['LW', 'MD', 'SS']",[],HUMAN,F,4,back,0910164725,T_N_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164725.jpg,015084edefe514d462b7aa4cae085ede
1,S,N,1,2,0,0,1,"['KC', 'CP']",['CL'],HUMAN,M,2,front,0904102002,S_N_M2_KC_F_LT_CP_V_N_front_0904102002.jpg,c7e6cfbcb47593ba9e7200add920243a
2,S,P,2,2,1,1,0,['WB'],['WB'],HUMAN,F,1,front,0907111829,S_P_F1_WB_L_W_front_0907111829.jpg,f2103f6bcff44829994cbed0edfda487
3,S,P,2,1,1,1,0,['CK'],[],HUMAN,M,5,back,0906101409,S_P_M5_CK_R_RL_back_0906101409.jpg,0a170aee0ca07eadcec004b1c7ee4c4d
4,S,P,2,2,1,1,1,"['MD', 'SS']",['UNKNOWN'],HUMAN,F,3,front,0910102014,S_P_F3_MD_F_LT_SS_V_N_front_0910102014.jpg,230fffaaacdf2cfe8d099c0a08243459
5,S,N,1,1,0,0,0,"['CL', 'LW']",[],HUMAN,F,4,front,0910161558,S_N_F4_CL_F_RA_LW_V_RA_front_0910161558.jpg,9899bd293404165d91342e356eaafb9b
6,S,P,2,2,1,1,0,"['CL', 'LW']",['CL'],HUMAN,F,4,front,0910161750,S_P_F4_CL_F_RT_LW_V_N_front_0910161750.jpg,8d4f0998b105650693df218cc0312444
7,S,N,1,1,0,0,0,['WB'],[],HUMAN,M,6,front,0906152317,S_N_M6_WB_R_LL_front_0906152317.jpg,b2b73e44e185c20d2e48f137d5fc1b00
8,S,P,2,2,1,1,0,"['CK', 'WB']",['CK'],HUMAN,F,3,front,0910103124,S_P_F3_CK_F_RL_WB_V_LL_front_0910103124.jpg,45009cfd889f8d98b403813f62cc7c4e
9,D,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,5,back,0906104124,D_N_M5_CK_F_S_WB_F_LT_back_0906104124.jpg,5041e63cdfe731dbe8d22b6f7c54a4cc
10,S,P,2,1,1,1,0,['CP'],[],HUMAN,F,1,front,0907112105,S_P_F1_CP_L_LA_front_0907112105.jpg,9dbec984107b7f882ccfcfd56601b3ab
11,S,P,2,2,1,1,1,['KK'],['UNKNOWN'],HUMAN,F,3,front,0910111224,S_P_F3_KK_L_LL_front_0910111224.jpg,e40f3e90757cae79ee1a803948ca93e9
12,S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,F,3,front,0910110816,S_N_F3_LW_F_LL_CL_V_RL_front_0910110816.jpg,20cee9b29b17ea2250ea28eb44297a6e
13,S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,M,4,back,0905150818,S_N_M4_KC_F_LA_CP_V_RA_back_0905150818.jpg,a374f6702665c2042ac379148987d184
14,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,F,1,front,0907094149,S_N_F1_CK_F_LL_WB_V_RL_front_0907094149.jpg,2d6d9cf3fcfb0c562d39754dbe1ea2a5
15,S,P,2,2,1,1,0,"['MD', 'SS']",['SS'],HUMAN,M,5,back,0906085926,S_P_M5_MD_F_W_SS_V_W_back_0906085926.jpg,59d4455927715ed2b782877b6c32db81
16,S,N,1,1,0,0,0,['WB'],[],HUMAN,M,2,back,0904113340,S_N_M2_WB_L_LT_back_0904113340.jpg,e91c434a15708fcbcd5181119cd20870
17,S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,M,5,front,0906083812,S_N_M5_KK_F_C_GA_V_W_front_0906083812.jpg,7811a76484f8a25b9c8e72c454ac94ae
18,S,N,1,1,0,0,0,['GA'],[],HUMAN,M,4,front,0905153140,S_N_M4_GA_R_W_front_0905153140.jpg,eb3162fd68ea98f03ba3c72b41e133fb
19,S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,F,4,front,0910153032,S_N_F4_GA_F_S_KK_V_LL_front_0910153032.jpg,b500e8bd12ac650c5e43b8d300e512b5
20,S,P,2,1,1,1,0,['LW'],[],HUMAN,M,3,front,0905110150,S_P_M3_LW_L_LL_front_0905110150.jpg,335ffa6d7a214a0b35b7938f6711f753
21,S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,F,1,back,0907095246,S_N_F1_KC_F_LA_CP_V_LA_back_0907095246.jpg,3b17efe0b2e525b3b0c782fe46d8656a
22,S,N,1,1,0,0,0,['MD'],[],HUMAN,M,1,back,0903160040,S_N_M1_MD_R_RL_back_0903160040.jpg,72bd516a0d84936898a265dc84e4b524
23,S,N,1,1,0,0,0,['GA'],[],HUMAN,M,6,back,0906151433,S_N_M6_GA_L_W_back_0906151433.jpg,d85ca69f5518f4b627957829b94409bb
24,S,P,2,2,1,1,1,['CP'],['UNKNOWN'],HUMAN,M,2,front,0904125547,S_P_M2_CP_L_LA_front_0904125547.jpg,6bc8de5d22224963326a281073d3e9cc
25,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,1,front,0903144814,S_N_M1_CK_F_W_WB_V_LT_front_0903144814.jpg,96a98a1189369b8497d32d6a105c2142
26,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,6,front,0906143854,S_N_M6_CK_F_LT_WB_V_N_front_0906143854.jpg,fa6a0ea3fd325a474ce8141ebd377572
27,S,P,2,2,1,1,1,['KK'],['UNKNOWN'],HUMAN,F,4,front,0910162711,S_P_F4_KK_R_LL_front_0910162711.jpg,e0470e772ec03d393e6e89ccc40855ad
28,S,P,2,2,1,1,1,['GA'],['UNKNOWN'],HUMAN,M,2,back,0904111945,S_P_M2_GA_L_LL_back_0904111945.jpg,c7b1fee99e47d92cb03b779cf531a073
29,S,N,1,1,0,0,0,"['CL', 'LW']",[],HUMAN,M,4,back,0905151958,S_N_M4_CL_F_W_LW_V_N_back_0905151958.jpg,afe865a8240abb6b1c9c01325082d851
