char1,char2,filename_bbox_count,xml_content_bbox_count,gross_count,presence,mismatch,keys_filename,key_xml_content,human_key,subject_gender,subject_id,front_back,time,file,file_id
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,"['MD', 'SS']",['UNKNOWN'],HUMAN,F,3,front,910102014,S_P_F3_MD_F_LT_SS_V_N_front_0910102014.jpg,230fffaaacdf2cfe8d099c0a08243459
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['CP'],[],HUMAN,F,1,front,907112105,S_P_F1_CP_L_LA_front_0907112105.jpg,9dbec984107b7f882ccfcfd56601b3ab
S,P,2,2,1,1,1,['KK'],['UNKNOWN'],HUMAN,F,3,front,910111224,S_P_F3_KK_L_LL_front_0910111224.jpg,e40f3e90757cae79ee1a803948ca93e9
S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,F,3,front,910110816,S_N_F3_LW_F_LL_CL_V_RL_front_0910110816.jpg,20cee9b29b17ea2250ea28eb44297a6e
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,F,1,front,907094149,S_N_F1_CK_F_LL_WB_V_RL_front_0907094149.jpg,2d6d9cf3fcfb0c562d39754dbe1ea2a5
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['WB'],[],HUMAN,M,2,back,904113340,S_N_M2_WB_L_LT_back_0904113340.jpg,e91c434a15708fcbcd5181119cd20870
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['LW'],[],HUMAN,M,3,front,905110150,S_P_M3_LW_L_LL_front_0905110150.jpg,335ffa6d7a214a0b35b7938f6711f753
S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,F,1,back,907095246,S_N_F1_KC_F_LA_CP_V_LA_back_0907095246.jpg,3b17efe0b2e525b3b0c782fe46d8656a
S,N,1,1,0,0,0,['MD'],[],HUMAN,M,1,back,903160040,S_N_M1_MD_R_RL_back_0903160040.jpg,72bd516a0d84936898a265dc84e4b524
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,['CP'],['UNKNOWN'],HUMAN,M,2,front,904125547,S_P_M2_CP_L_LA_front_0904125547.jpg,6bc8de5d22224963326a281073d3e9cc
S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,1,front,903144814,S_N_M1_CK_F_W_WB_V_LT_front_0903144814.jpg,96a98a1189369b8497d32d6a105c2142
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,['GA'],['UNKNOWN'],HUMAN,M,2,back,904111945,S_P_M2_GA_L_LL_back_0904111945.jpg,c7b1fee99e47d92cb03b779cf531a073
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,F,2,front,907144924,S_N_F2_MD_F_RT_SS_V_LA_front_0907144924.jpg,aeb495a0295a6bdb829d65675e8d8946
