,scores,labels
0,0.0056503443,0
1,0.03337496,1
2,0.006131677,1
3,0.0056503443,1
4,0.0056503443,1
5,0.019238269,1
6,0.0056503443,1
7,0.005523785,0
8,0.0056503443,0
9,0.0056503443,1
10,0.0056503443,0
11,0.0056503443,1
12,0.0056503443,0
13,0.46037805,1
14,0.0056503443,1
15,0.0056503443,0
16,0.6047654,1
17,0.22860391,1
18,0.24644797,1
19,0.0056503443,1
20,0.0056503443,1
21,0.0056503443,0
22,0.0056215194,0
23,0.4335949,1
24,1.0,1
25,0.0056503443,1
26,0.0056503443,1
27,0.0056503443,1
28,0.0056503443,1
29,0.0056503443,1
30,0.0056503443,0
31,0.0056503443,1
32,0.21683253,0
33,0.0014937489,1
34,0.0014937489,1
35,0.082392775,1
36,0.0014937489,0
37,0.0014937489,0
38,0.0014937489,1
39,0.15616636,1
40,0.0014937489,1
41,0.0,1
42,0.0014937489,0
43,0.18608826,0
44,0.38450584,1
45,0.09148999,1
46,0.0014937489,0
47,0.0014937489,1
48,0.0014937489,0
49,0.0016164178,1
50,0.0014937489,1
51,0.51384777,1
52,0.0014937489,0
53,0.0014937489,0
54,0.0014937489,1
55,0.0014937489,1
56,0.0014937489,1
57,0.0014937489,1
58,0.8440646,1
59,0.0014937489,0
60,0.0012586974,0
61,0.0014937489,1
62,0.0014937489,0
63,0.0014937489,1
